name,name_lv,admin_unit,coord_Lat,coord_Long,status_republic,status_from,gerbURL,population
Priekule,Priekule,Priekules novads,56.444166666667,21.595,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Coat_of_Arms_of_Priekule.svg/25px-Coat_of_Arms_of_Priekule.svg.png,1912
Rezekne,Rēzekne,Rēzeknes pilsēta,56.506388888889,27.330555555556,true,1773. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Coat_of_Arms_of_R%C4%93zekne.svg/25px-Coat_of_Arms_of_R%C4%93zekne.svg.png,28
Riga,Rīga,Rīgas pilsēta,56.9475,24.106388888889,true,1225. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Greater_Coat_of_Arms_of_Riga_-_for_display.svg/40px-Greater_Coat_of_Arms_of_Riga_-_for_display.svg.png,655
Rujiena,Rūjiena,Rūjienas novads,57.897222222222,25.326111111111,false,1920. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Rujiena_gerb.png/25px-Rujiena_gerb.png,2766
Sabile,Sabile,Talsu novads,57.045,22.573333333333,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Sabile_gerb.png/25px-Sabile_gerb.png,1430
Salacgriva,Salacgrīva,Salacgrīvas novads,57.751666666667,24.357222222222,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Salacgriva_gerb.png/25px-Salacgriva_gerb.png,2624
Salaspils,Salaspils,Salaspils novads,56.858611111111,24.349722222222,false,1993. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Salaspils_gerb.png/25px-Salaspils_gerb.png,18
Saldus,Saldus,Saldus novads,56.666388888889,22.493611111111,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Escut_Saldus.png/25px-Escut_Saldus.png,10
Saulkrasti,Saulkrasti,Saulkrastu novads,57.261944444444,24.415833333333,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Coat_of_Arms_of_Saulkrasti.svg/25px-Coat_of_Arms_of_Saulkrasti.svg.png,3430
Seda,Seda,Strenču novads,57.650277777778,25.751111111111,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Seda_gerb.png/30px-Seda_gerb.png,1197
Sigulda,Sigulda,Siguldas novads,57.155,24.857777777778,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Coat_of_Arms_of_Sigulda.svg/25px-Coat_of_Arms_of_Sigulda.svg.png,14
Skrunda,Skrunda,Skrundas novads,56.676388888889,22.015833333333,false,1996. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Coat_of_Arms_of_Skrunda.svg/25px-Coat_of_Arms_of_Skrunda.svg.png,1985
Smiltene,Smiltene,Smiltenes novads,57.424166666667,25.906666666667,false,1920. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Coat_of_Arms_of_Smiltene.svg/25px-Coat_of_Arms_of_Smiltene.svg.png,5334
Staicele,Staicele,Alojas novads,57.837222222222,24.744166666667,false,1992. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Staicele_gerb.png/25px-Staicele_gerb.png,861
Stende,Stende,Talsu novads,57.145277777778,22.534722222222,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Stende_gerb.png/25px-Stende_gerb.png,1605
Strenci,Strenči,Strenču novads,57.6275,25.685,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Strenci_gerb.png/25px-Strenci_gerb.png,1042
